X,Y,Z,Name,description,COL5A0EF95909EAA724,COL5A0EF95909BD88AB
21.098789,39.290916,0,ΑΓ.ΓΕΩΡΓΙΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
20.854443,39.268065,0,ΑΓ.ΓΕΩΡΓΙΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.927078,38.392817,0,ΑΓ.ΓΕΩΡΓΙΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.386097,37.630636,0,ΑΓ.ΓΕΩΡΓΙΟΣ ΜΕΘ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.956523,38.945279,0,ΑΓ.ΓΕΩΡΓΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
24.960463,35.058421,0,ΑΓ.ΔΕΚΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.11302,39.515108,0,ΑΓ.ΔΗΜΗΤΡΙΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.549407,39.776487,0,ΑΓ.ΔΗΜΗΤΡΙΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.996253,38.448474,0,ΑΓ.ΔΗΜΗΤΡΙΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
24.436263,38.109373,0,ΑΓ.ΔΗΜΗΤΡΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.154692,39.415134,0,ΑΓ.ΔΗΜΗΤΡΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.929413,40.409745,0,ΑΓ.ΔΗΜΗΤΡΙΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
19.765189,39.747636,0,ΑΓ.ΔΟΥΛΟΙ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.365051,37.098669,0,ΑΓ.ΕΙΡΗΝΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.354494,38.480231,0,ΑΓ.ΕΥΘΥΜΙΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
24.990576,39.541489,0,ΑΓ.ΕΥΣΤΡΑΤΙΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
20.594981,38.301594,0,ΑΓ.ΕΥΦΗΜΙΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
19.869471,39.806822,0,ΑΓ.ΗΛΙΑ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.142633,37.927966,0,ΑΓ.ΘΕΟΔΩΡΟΙ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.590099,38.275516,0,ΑΓ.ΘΩΜΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
20.163302,39.204225,0,ΑΓ.ΙΣΑΥΡΩΝ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
27.847226,36.163821,0,ΑΓ.ΙΣΙΔΩΡΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.000192,36.743913,0,ΑΓ.ΙΩΑΝΝΗΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
21.576909,37.12039,0,ΑΓ.ΚΥΡΙΑΚΗ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
22.859169,38.759831,0,ΑΓ.ΚΩΝΣΤΑΝΤΙΝΟΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
26.816023,37.807324,0,ΑΓ.ΚΩΝΣΤΑΝΤΙΝΟΥ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
24.023304,38.440928,0,ΑΓ.ΛΟΥΚΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
23.336265,40.260346,0,ΑΓ.ΜΑΜΑΣ,"<pre id=""com.exlyo.mapmarker.description_p_tag""></pre>","-1",[]
